Matches of...,GP,Avg,0.5+,1.5+,2.5+,3.5+,4.5+,5.5+,BTS,CS,FTS,WTN,LTN
Newcastle Utd,31.0,1.52,71%,48%,26%,6%,0%,0%,29%,52%,48%,23%,19%
Aston Villa,32.0,1.5,78%,47%,19%,6%,0%,0%,19%,62%,41%,41%,19%
Chelsea,30.0,1.5,77%,53%,13%,7%,0%,0%,43%,50%,30%,27%,7%
Arsenal,31.0,1.45,74%,52%,10%,6%,3%,0%,23%,65%,39%,39%,13%
Brighton,31.0,1.45,84%,42%,19%,0%,0%,0%,19%,52%,45%,35%,29%
Sheffield Utd,31.0,1.45,74%,42%,16%,10%,3%,0%,16%,35%,74%,10%,48%
Tottenham,31.0,1.45,81%,45%,16%,3%,0%,0%,35%,45%,39%,26%,19%
Manchester City,31.0,1.42,81%,39%,19%,3%,0%,0%,23%,58%,39%,39%,19%
Burnley,32.0,1.41,91%,44%,6%,0%,0%,0%,19%,31%,59%,22%,50%
Nottm Forest,32.0,1.41,72%,47%,16%,6%,0%,0%,31%,44%,53%,16%,25%
West Ham Utd,32.0,1.41,81%,41%,16%,3%,0%,0%,25%,47%,47%,28%,28%
Liverpool,31.0,1.32,77%,42%,10%,3%,0%,0%,32%,52%,39%,29%,16%
Brentford,32.0,1.31,75%,34%,16%,6%,0%,0%,34%,47%,44%,22%,19%
Luton Town,32.0,1.25,72%,31%,19%,3%,0%,0%,12%,50%,66%,22%,38%
Bournemouth,31.0,1.19,71%,39%,10%,0%,0%,0%,19%,52%,58%,23%,29%
Manchester Utd,31.0,1.16,68%,32%,13%,3%,0%,0%,23%,55%,55%,23%,23%
Wolverhampton,31.0,1.16,71%,32%,10%,3%,0%,0%,19%,52%,58%,23%,29%
Fulham,32.0,1.16,62%,38%,12%,3%,0%,0%,12%,59%,66%,22%,28%
Crystal Palace,31.0,1.0,58%,26%,13%,3%,0%,0%,16%,61%,65%,19%,23%
Everton,31.0,0.94,52%,32%,10%,0%,0%,0%,16%,65%,68%,16%,19%
League average,,,73.5%,40.3%,14.4%,3.8%,0.3%,0.0%,23.3%,51.6%,51.6%,25.1%,25.1%
