Home matches of...,GP,Avg,0.5+,1.5+,2.5+,3.5+,4.5+,5.5+,BTS,CS,FTS,WTN,LTN
Sheffield Utd,16,1.75,75%,56%,25%,12%,6%,0%,25%,31%,69%,6%,44%
Chelsea,15,1.6,73%,47%,27%,13%,0%,0%,47%,53%,27%,27%,0%
Burnley,16,1.56,94%,56%,6%,0%,0%,0%,19%,25%,62%,19%,56%
Liverpool,16,1.56,81%,56%,12%,6%,0%,0%,38%,50%,31%,31%,12%
Newcastle Utd,16,1.56,69%,50%,31%,6%,0%,0%,38%,62%,31%,31%,0%
Brentford,16,1.5,75%,44%,19%,12%,0%,0%,44%,44%,38%,19%,12%
Manchester City,16,1.5,81%,44%,25%,0%,0%,0%,19%,69%,31%,50%,12%
West Ham Utd,16,1.5,81%,50%,12%,6%,0%,0%,25%,56%,38%,38%,19%
Arsenal,15,1.47,87%,60%,0%,0%,0%,0%,27%,60%,27%,47%,13%
Aston Villa,16,1.38,75%,38%,19%,6%,0%,0%,12%,75%,38%,50%,12%
Brighton,15,1.33,87%,33%,13%,0%,0%,0%,20%,60%,33%,47%,20%
Manchester Utd,15,1.27,80%,33%,13%,0%,0%,0%,20%,33%,67%,13%,47%
Luton Town,16,1.25,69%,38%,19%,0%,0%,0%,12%,50%,69%,19%,38%
Tottenham,16,1.19,81%,38%,0%,0%,0%,0%,25%,50%,44%,31%,25%
Fulham,16,1.13,62%,44%,6%,0%,0%,0%,12%,69%,56%,31%,19%
Wolverhampton,15,1.07,80%,20%,7%,0%,0%,0%,13%,60%,47%,40%,27%
Bournemouth,16,1.0,62%,31%,6%,0%,0%,0%,19%,50%,69%,12%,31%
Crystal Palace,15,1.0,53%,27%,13%,7%,0%,0%,27%,67%,53%,20%,7%
Nottm Forest,16,1.0,56%,19%,19%,6%,0%,0%,12%,69%,62%,25%,19%
Everton,15,0.8,47%,20%,13%,0%,0%,0%,13%,80%,60%,27%,7%
